Title,Date
"Pálpito: Temporada 1: Sin cabos sueltos","24-04-23"
"Pálpito: Temporada 1: La organización","24-04-23"
"Pálpito: Temporada 1: Ese corazón nunca debió ser tuyo","24-04-23"
"Pálpito: Temporada 1: La búsqueda","24-04-23"
"Pálpito: Temporada 1: Un huésped dentro de mi cuerpo","24-04-23"
"Pálpito: Temporada 1: La felicidad no es redonda","24-04-23"
"Avatar: La leyenda de Aang: Avatar: la leyenda de Aang: Libro 1: Los guerreros de Kyoshi","23-04-23"
"Avatar: La leyenda de Aang: Avatar: la leyenda de Aang: Libro 1: El templo del Aire del Sur","23-04-23"
"Avatar: La leyenda de Aang: Avatar: la leyenda de Aang: Libro 1: El Avatar regresa","23-04-23"
"Avatar: La leyenda de Aang: Avatar: la leyenda de Aang: Libro 1: El niño en el iceberg","23-04-23"
"El amor es ciego: Temporada 4: El reencuentro","23-04-23"
"Keeping Up with the Kardashians: Temporada 13: Episodio 14","19-04-23"
"Keeping Up with the Kardashians: Temporada 13: Episodio 13","19-04-23"
"Keeping Up with the Kardashians: Temporada 13: Episodio 12","18-04-23"
"Armados y peligrosos","18-04-23"
"Breaking Bad: Temporada 5: Madrigal","18-04-23"
"Keeping Up with the Kardashians: Temporada 13: Episodio 11","18-04-23"
"Keeping Up with the Kardashians: Temporada 13: Episodio 10","18-04-23"
"Keeping Up with the Kardashians: Temporada 13: Episodio 9","17-04-23"
"Keeping Up with the Kardashians: Temporada 13: Episodio 8","17-04-23"
"Keeping Up with the Kardashians: Temporada 13: Episodio 7","17-04-23"
"Keeping Up with the Kardashians: Temporada 13: Episodio 6","17-04-23"
"Keeping Up with the Kardashians: Temporada 13: Episodio 5","17-04-23"
"Breaking Bad: Temporada 5: Vive libre o muere","17-04-23"
"Breaking Bad: Temporada 4: Cara a cara","17-04-23"
"Breaking Bad: Temporada 4: Fin de los tiempos","17-04-23"
"Un hombre de Florida: Miniserie: El maldito lugar más real de la Tierra","17-04-23"
"Obsesión: Miniserie: Episodio 1","17-04-23"
"Keeping Up with the Kardashians: Temporada 13: Episodio 4","16-04-23"
"Keeping Up with the Kardashians: Temporada 13: Episodio 3","16-04-23"
"Keeping Up with the Kardashians: Temporada 13: Episodio 2","16-04-23"
"Keeping Up with the Kardashians: Temporada 13: Episodio 1","16-04-23"
"Cacería implacable: El atentado del maratón de Boston: Gorra blanca, gorra negra","16-04-23"
"El amor es ciego: Temporada 4: ¿Felicidad eterna?","15-04-23"
"Breaking Bad: Temporada 4: Entrepiso","15-04-23"
"Breaking Bad: Temporada 4: Salud","15-04-23"
"Breaking Bad: Temporada 4: Micrófono","14-04-23"
"Breaking Bad: Temporada 4: Hermanos","14-04-23"
"Breaking Bad: Temporada 4: Perro problemático","13-04-23"
"The Office (EE. UU.): Temporada 1: “Health Care”","12-04-23"
"The Office (EE. UU.): Temporada 1: “Diversity Day”","12-04-23"
"The Office (EE. UU.): Temporada 1: Pilot","12-04-23"
"Breaking Bad: Temporada 4: Arrinconados","10-04-23"
"Breaking Bad: Temporada 4: Copiloto","09-04-23"
